ID,EXTRACTION_DATE,CIRCULATING_SUPPLY,TOTAL_SUPPLY,MAX_SUPPLY,USD_PRICE,VOLUME_24_HOURS,PERCENT_CHANGE_1,PERCENT_CHANGE_24,PERCENT_CHANGE_7_DAYS,MARKET_CAP,LAST_UPDATED
512,2019-04-24 08:34:03,19405180888.42,104922376416,,0.1,258793215.67,-2.69,-8.01,-9.18,2037138360.33,2019-04-24 08:33:01
1027,2019-04-24 08:34:03,105788970.19,105788970,,165.77,6935228438.2,-1.9,-5.66,-0.53,17537096924.07,2019-04-24 08:33:22
1,2019-04-24 08:39:04,17662412.0,17662412,21000000.0,5505.93,15880719302.15,-1.71,-1.1,5.13,97247948674.98,2019-04-24 08:38:31
2,2019-04-24 08:39:04,61476658.59,61476659,84000000.0,72.44,2968695613.01,-1.17,-8.25,-9.64,4453512169.27,2019-04-24 08:38:04
52,2019-04-24 08:39:04,42004966728.0,99991643723,100000000000.0,0.3,1253040051.48,-4.48,-8.12,-7.62,12623835033.85,2019-04-24 08:38:02
512,2019-04-24 08:39:04,19405180888.42,104922376416,,0.11,260226462.4,-2.47,-7.95,-9.14,2038091080.27,2019-04-24 08:38:02
1027,2019-04-24 08:39:04,105789153.12,105789153,,165.65,6944639905.05,-1.64,-5.73,-0.6,17523915492.43,2019-04-24 08:38:18
1,2019-04-24 08:44:05,17662412.0,17662412,21000000.0,5509.25,15942250959.99,-1.35,-1.05,5.19,97306590209.49,2019-04-24 08:43:31
2,2019-04-24 08:44:05,61476658.59,61476659,84000000.0,72.58,2978739775.79,-0.63,-8.08,-9.45,4462093487.36,2019-04-24 08:43:05
52,2019-04-24 08:44:05,42004966728.0,99991643723,100000000000.0,0.3,1265969647.91,-3.44,-8.01,-7.53,12638604812.9,2019-04-24 08:43:02
512,2019-04-24 08:44:05,19405180888.42,104922376416,,0.11,262858117.22,-2.03,-7.77,-8.98,2041855346.7,2019-04-24 08:43:02
1027,2019-04-24 08:44:05,105789153.12,105789153,,166.04,6972988247.92,-1.02,-5.51,-0.36,17565630450.07,2019-04-24 08:43:21
1,2019-04-24 08:49:06,17662412.0,17662412,21000000.0,5513.4,15854368434.74,-0.97,-0.98,5.28,97379899300.99,2019-04-24 08:48:30
2,2019-04-24 08:49:06,61476658.59,61476659,84000000.0,72.86,2979466617.62,0.1,-7.73,-9.09,4479292521.27,2019-04-24 08:48:05
52,2019-04-24 08:49:06,42004966728.0,99991643723,100000000000.0,0.3,1278823818.6,-2.06,-7.65,-7.18,12688258795.39,2019-04-24 08:48:03
512,2019-04-24 08:49:06,19405180888.42,104922376416,,0.11,264607121.61,-1.47,-7.55,-8.77,2046600387.96,2019-04-24 08:48:03
1027,2019-04-24 08:49:06,105789153.12,105789153,,166.25,7182409425.19,-0.52,-5.39,-0.23,17587860487.4,2019-04-24 08:48:19
1,2019-04-24 08:54:07,17662412.0,17662412,21000000.0,5514.03,15980148252.14,-0.63,-0.97,5.29,97391124393.31,2019-04-24 08:53:29
2,2019-04-24 08:54:07,61476658.59,61476659,84000000.0,72.93,2970452874.38,0.48,-7.64,-9.0,4483559850.49,2019-04-24 08:53:03
52,2019-04-24 08:54:07,42004966728.0,99991643723,100000000000.0,0.3,1286708822.95,-1.19,-7.77,-7.31,12672243139.03,2019-04-24 08:53:03
512,2019-04-24 08:54:07,19405180888.42,104922376416,,0.11,267023479.72,-0.87,-7.3,-8.53,2052005685.13,2019-04-24 08:53:03
1027,2019-04-24 08:54:07,105789153.12,105789153,,166.1,6976514971.1,-0.24,-5.47,-0.32,17571467420.97,2019-04-24 08:53:17
1,2019-04-24 09:04:09,17662475.0,17662475,21000000.0,5514.04,15900464351.32,-0.08,-0.97,5.29,97391643491.8,2019-04-24 09:03:31
2,2019-04-24 09:04:09,61476758.59,61476759,84000000.0,72.59,2946663744.47,0.33,-8.07,-9.4,4462643560.19,2019-04-24 09:03:06
52,2019-04-24 09:04:09,42004966728.0,99991643723,100000000000.0,0.3,1297947752.51,-0.19,-8.15,-7.71,12621620817.72,2019-04-24 09:03:02
512,2019-04-24 09:04:09,19405180888.42,104922376416,,0.11,269846932.85,-0.65,-7.71,-8.96,2042691086.7,2019-04-24 09:03:02
1027,2019-04-24 09:04:09,105789313.5,105789313,,165.73,6946794349.27,0.05,-5.67,-0.54,17532178574.69,2019-04-24 09:03:19
1,2019-04-24 09:09:10,17662475.0,17662475,21000000.0,5505.07,16487869933.13,-0.01,-1.13,5.12,97233147005.94,2019-04-24 09:08:31
2,2019-04-24 09:09:10,61476758.59,61476759,84000000.0,72.41,2944809915.79,0.18,-8.27,-9.61,4451729608.26,2019-04-24 09:08:03
52,2019-04-24 09:09:10,42004966728.0,99991643723,100000000000.0,0.3,1303672397.8,0.03,-8.33,-7.92,12595461072.2,2019-04-24 09:08:02
512,2019-04-24 09:09:10,19405180888.42,104922376416,,0.11,271603633.7,-0.6,-7.93,-9.19,2037599020.48,2019-04-24 09:08:01
1027,2019-04-24 09:09:10,105789313.5,105789313,,165.68,7335227793.87,0.1,-5.69,-0.57,17526832951.71,2019-04-24 09:08:17
1,2019-04-24 09:14:11,17662475.0,17662475,21000000.0,5502.73,15826943462.68,0.03,-1.18,5.08,97191843628.37,2019-04-24 09:13:31
2,2019-04-24 09:14:11,61476758.59,61476759,84000000.0,72.46,2931689474.81,0.25,-8.19,-9.54,4454815149.86,2019-04-24 09:13:05
52,2019-04-24 09:14:11,42004966728.0,99991643723,100000000000.0,0.3,1311281532.5,-0.02,-8.44,-8.05,12579220652.39,2019-04-24 09:13:03
512,2019-04-24 09:14:11,19405180888.42,104922376416,,0.1,273484997.12,-0.8,-8.29,-9.56,2029399822.09,2019-04-24 09:13:02
1027,2019-04-24 09:14:11,105789313.5,105789313,,165.38,6946652721.19,-0.09,-5.85,-0.75,17495854155.54,2019-04-24 09:13:22
1,2019-04-24 09:19:12,17662475.0,17662475,21000000.0,5502.49,16508901752.27,0.04,-1.18,5.07,97187554963.07,2019-04-24 09:18:28
2,2019-04-24 09:19:12,61476983.59,61476984,84000000.0,72.48,2921439151.78,0.26,-8.16,-9.51,4455949949.35,2019-04-24 09:18:05
52,2019-04-24 09:19:12,42004966728.0,99991643723,100000000000.0,0.3,1318727411.93,-0.04,-8.44,-8.06,12579876570.02,2019-04-24 09:18:03
512,2019-04-24 09:19:12,19405180888.42,104922376416,,0.1,275101638.33,-0.7,-8.3,-9.59,2028877069.16,2019-04-24 09:18:02
1027,2019-04-24 09:19:12,105789514.87,105789515,,165.16,7350291144.74,-0.24,-5.96,-0.88,17471971792.63,2019-04-24 09:18:21
1,2019-04-24 09:24:13,17662475.0,17662475,21000000.0,5505.24,15877591503.94,0.09,-1.13,5.12,97236176351.78,2019-04-24 09:23:26
2,2019-04-24 09:24:13,61476983.59,61476984,84000000.0,72.46,2917690561.31,0.19,-8.18,-9.54,4454487010.14,2019-04-24 09:23:07
52,2019-04-24 09:24:13,42004966728.0,99991643723,100000000000.0,0.3,1328442273.21,0.17,-8.23,-7.87,12608021856.67,2019-04-24 09:23:02
512,2019-04-24 09:24:13,19405180888.42,104922376416,,0.1,276107933.88,-0.45,-8.13,-9.44,2032372618.55,2019-04-24 09:23:01
1027,2019-04-24 09:24:13,105789514.87,105789515,,165.53,6979694345.22,-0.06,-5.75,-0.66,17510921512.16,2019-04-24 09:23:22
1,2019-04-24 09:29:14,17662475.0,17662475,21000000.0,5508.17,16001384957.81,0.15,-1.08,5.18,97287979408.92,2019-04-24 09:28:29
2,2019-04-24 09:29:14,61476983.59,61476984,84000000.0,72.46,2912912891.45,0.18,-8.17,-9.53,4454569264.77,2019-04-24 09:28:04
52,2019-04-24 09:29:14,42004966728.0,99991643723,100000000000.0,0.3,1333508847.66,0.36,-8.06,-7.72,12630131796.53,2019-04-24 09:28:02
512,2019-04-24 09:29:14,19405180888.42,104922376416,,0.1,276396017.28,-0.29,-8.05,-9.38,2033848545.54,2019-04-24 09:28:02
1027,2019-04-24 09:29:14,105789514.87,105789515,,165.62,6997975990.07,0.02,-5.68,-0.61,17521050253.83,2019-04-24 09:28:22
1,2019-04-24 09:34:15,17662475.0,17662475,21000000.0,5513.16,16025173719.48,0.21,-1.0,5.27,97376044720.34,2019-04-24 09:33:29
2,2019-04-24 09:34:15,61476983.59,61476984,84000000.0,72.43,2905177535.97,0.07,-8.19,-9.55,4452883554.56,2019-04-24 09:33:03
52,2019-04-24 09:34:15,42004966728.0,99991643723,100000000000.0,0.3,1337752030.13,0.51,-7.88,-7.56,12654655960.05,2019-04-24 09:33:03
512,2019-04-24 09:34:15,19405180888.42,104922376416,,0.1,276663856.5,-0.23,-8.03,-9.38,2034051184.61,2019-04-24 09:33:03
1027,2019-04-24 09:34:15,105789514.87,105789515,,165.73,7009716951.59,0.02,-5.62,-0.55,17532165763.28,2019-04-24 09:33:21
1,2019-04-24 09:39:16,17662475.0,17662475,21000000.0,5514.63,16248574388.03,0.17,-0.97,5.3,97402099554.6,2019-04-24 09:38:24
2,2019-04-24 09:39:16,61477108.59,61477109,84000000.0,72.54,2898316286.83,0.07,-8.03,-9.4,4459805461.83,2019-04-24 09:38:05
52,2019-04-24 09:39:16,42004966728.0,99991643723,100000000000.0,0.3,1347623462.19,0.66,-7.52,-7.22,12702698418.39,2019-04-24 09:38:03
512,2019-04-24 09:39:16,19405180888.42,104922376416,,0.11,277768446.87,-0.09,-7.84,-9.21,2038092608.72,2019-04-24 09:38:03
1027,2019-04-24 09:39:16,105789687.5,105789687,,165.77,7407310011.26,-0.04,-5.59,-0.52,17536751900.06,2019-04-24 09:38:21
1,2019-04-24 09:44:17,17662475.0,17662475,21000000.0,5511.65,15927461900.64,0.07,-1.03,5.24,97349395329.19,2019-04-24 09:43:30
2,2019-04-24 09:44:17,61477108.59,61477109,84000000.0,72.42,2892005525.83,-0.25,-8.17,-9.55,4452131904.24,2019-04-24 09:43:04
52,2019-04-24 09:44:17,42004966728.0,99991643723,100000000000.0,0.3,1350845956.41,0.47,-7.55,-7.27,12698557514.71,2019-04-24 09:43:04
512,2019-04-24 09:44:17,19405180888.42,104922376416,,0.11,278323286.21,-0.12,-7.74,-9.14,2039795746.41,2019-04-24 09:43:02
1027,2019-04-24 09:44:17,105789687.5,105789687,,165.65,7020772290.43,-0.16,-5.65,-0.59,17524454701.97,2019-04-24 09:43:22
1,2019-04-24 09:49:17,17662475.0,17662475,21000000.0,5511.88,16038837646.49,0.03,-1.03,5.24,97353451313.28,2019-04-24 09:48:33
2,2019-04-24 09:49:17,61477108.59,61477109,84000000.0,72.23,2883844725.24,-0.63,-8.37,-9.77,4440734705.73,2019-04-24 09:48:05
52,2019-04-24 09:49:17,42004966728.0,99991643723,100000000000.0,0.3,1353351417.25,0.39,-7.55,-7.3,12696699988.46,2019-04-24 09:48:03
512,2019-04-24 09:49:17,19405180888.42,104922376416,,0.1,278088705.12,-0.38,-7.89,-9.31,2036175417.13,2019-04-24 09:48:02
1027,2019-04-24 09:49:17,105789687.5,105789687,,165.54,7029330114.09,-0.25,-5.71,-0.66,17512060257.36,2019-04-24 09:48:23
1,2019-04-24 09:54:18,17662475.0,17662475,21000000.0,5504.5,15950481296.43,-0.14,-1.16,5.1,97223095014.29,2019-04-24 09:53:28
2,2019-04-24 09:54:18,61477108.59,61477109,84000000.0,72.18,2891965037.57,-0.74,-8.42,-9.83,4437218073.83,2019-04-24 09:53:04
52,2019-04-24 09:54:18,42004966728.0,99991643723,100000000000.0,0.3,1354795894.86,0.26,-7.64,-7.41,12682694638.22,2019-04-24 09:53:03
512,2019-04-24 09:54:18,19405180888.42,104922376416,,0.1,279001229.05,-0.55,-7.99,-9.43,2033657397.83,2019-04-24 09:53:02
1027,2019-04-24 09:54:18,105789687.5,105789687,,165.43,7034112702.88,-0.31,-5.77,-0.73,17500575430.24,2019-04-24 09:53:21
1,2019-04-24 09:59:20,17662587.0,17662587,21000000.0,5500.93,16646111288.2,-0.2,-1.22,5.03,97160688417.61,2019-04-24 09:58:31
2,2019-04-24 09:59:20,61477308.59,61477309,84000000.0,72.1,2890991037.49,-0.83,-8.48,-9.91,4432669966.65,2019-04-24 09:58:04
52,2019-04-24 09:59:20,42004966728.0,99991643723,100000000000.0,0.3,1358602467.79,0.34,-7.58,-7.38,12689098412.68,2019-04-24 09:58:03
512,2019-04-24 09:59:20,19405180888.42,104922376416,,0.1,279237441.17,-0.6,-8.03,-9.48,2032460064.66,2019-04-24 09:58:03
1027,2019-04-24 09:59:20,105789867.19,105789867,,165.21,7438812497.73,-0.45,-5.88,-0.86,17477039689.23,2019-04-24 09:58:21
1,2019-04-24 10:04:21,17662587.0,17662587,21000000.0,5496.76,16560164238.55,-0.26,-1.29,4.96,97086983819.91,2019-04-24 10:03:31
2,2019-04-24 10:04:21,61477308.59,61477309,84000000.0,72.06,2865571868.54,-0.86,-8.49,-9.95,4430097678.44,2019-04-24 10:03:04
52,2019-04-24 10:04:21,42004966728.0,99991643723,100000000000.0,0.3,1355905223.48,0.34,-7.65,-7.47,12678257297.43,2019-04-24 10:03:04
512,2019-04-24 10:04:21,19405180888.42,104922376416,,0.1,278061362.26,-0.45,-7.95,-9.44,2033500005.86,2019-04-24 10:03:03
1027,2019-04-24 10:04:21,105789867.19,105789867,,165.1,7172036940.33,-0.45,-5.92,-0.92,17465549032.63,2019-04-24 10:03:17
1,2019-04-24 10:09:21,17662587.0,17662587,21000000.0,5490.73,15981784561.42,-0.33,-1.38,4.84,96980531138.89,2019-04-24 10:08:30
2,2019-04-24 10:09:21,61477308.59,61477309,84000000.0,71.81,2858347052.72,-1.12,-8.77,-10.25,4414983394.19,2019-04-24 10:08:07
52,2019-04-24 10:09:21,42004966728.0,99991643723,100000000000.0,0.3,1356453616.1,0.34,-7.75,-7.61,12661031380.9,2019-04-24 10:08:04
512,2019-04-24 10:09:21,19405180888.42,104922376416,,0.1,277429962.44,-0.64,-8.24,-9.75,2026719493.01,2019-04-24 10:08:03
1027,2019-04-24 10:09:21,105789867.19,105789867,,164.88,6997328968.59,-0.48,-6.03,-1.06,17442114969.99,2019-04-24 10:08:17
1,2019-04-24 10:14:23,17662587.0,17662587,21000000.0,5486.89,16027392365.67,-0.38,-1.44,4.77,96912643153.26,2019-04-24 10:13:31
