EXTRACTION_DATE,CURRENCY,SELL_PRICE,SPOT_PRICE,BUY_PRICE
2019-04-25 06:39:50,USD,5375.75,5399.61,5431.31
2019-04-25 06:44:52,USD,5384.37,5408.65,5438.5
2019-04-25 06:49:54,USD,5380.8,5411.27,5435.53
2019-04-25 06:54:56,USD,5377.06,5401.855,5431.11
2019-04-25 06:59:58,USD,5374.85,5407.015,5428.89
2019-04-25 07:05:00,USD,5369.55,5401.185,5423.52
2019-04-25 07:20:03,USD,5387.92,5414.995,5442.66
2019-04-25 07:25:04,USD,5388.83,5418.365,5443.06
2019-04-25 07:30:05,USD,5391.49,5418.005,5446.35
2019-04-25 07:35:07,USD,5392.9,5417.725,5447.55
2019-04-25 07:40:08,USD,5394.88,5417.825,5449.11
2019-04-25 07:45:09,USD,5390.91,5422.995,5445.1
2019-04-25 07:50:11,USD,5394.78,5428.325,5449.01
2019-04-25 07:55:12,USD,5398.04,5432.005,5454.75
2019-04-25 08:00:13,USD,5402.56,5430.485,5456.87
2019-04-25 15:12:04,USD,5422.74,5459.965,5477.25
2019-04-25 15:17:05,USD,5422.4,5459.985,5476.95
2019-04-25 16:17:21,USD,5429.89,5457.205,5486.5
2019-04-25 16:22:22,USD,5431.5,5460.05,5487.81
2019-04-25 16:27:24,USD,5433.54,5457.865,5488.17
2019-04-25 16:32:25,USD,5431.7,5463.18,5486.31
2019-04-25 16:37:26,USD,5430.57,5465.905,5485.16
2019-04-25 16:42:27,USD,5427.72,5466.335,5482.42
2019-04-25 16:47:28,USD,5430.53,5466.435,5485.12
2019-04-25 16:52:29,USD,5439.34,5466.995,5494.24
2019-04-25 16:57:30,USD,5439.66,5475.575,5494.34
2019-04-25 17:02:31,USD,5442.63,5481.245,5497.34
2019-04-25 18:07:49,USD,5464.14,5499.105,5519.07
2019-04-25 18:12:50,USD,5464.14,5498.565,5519.08
2019-04-25 18:17:51,USD,5471.06,5495.085,5526.06
2019-04-25 18:22:53,USD,5465.88,5495.435,5522.23
2019-04-25 18:27:55,USD,5469.87,5493.115,5525.55
2019-04-25 18:32:56,USD,5469.51,5493.405,5524.68
2019-04-25 18:37:57,USD,5467.59,5497.875,5522.85
2019-04-25 18:43:01,USD,5465.43,5497.85,5521.21
2019-04-25 18:48:02,USD,5469.56,5496.005,5524.58
2019-04-25 18:53:05,USD,5467.9,5495.525,5522.87
